species, gbif_key
Falseuncaria ruficiliana, 1743643
Friedlanderia cicatricella, 1883063
Galleria mellonella, 1876542
Gelechia hippophaella, 1850278
Gelechia muscosella, 1850386
Gelechia nigra, 1850302
Gelechia rhombella, 1850394
Gelechia rhombelliformis, 1850325
Gelechia sabinellus, 1850450
Gelechia scotinella, 1850377
Gelechia senticetella, 1850279
Gelechia sororculella, 1850335
Gelechia turpella, 1850460
Gibberifera simplana, 1743475
Gillmeria ochrodactyla, 4536483
Gillmeria pallidactyla, 4536472
Glaucolepis headleyella, 9634891
Glyphipterix bergstraesserella, 1829974
Glyphipterix equitella, 1829975
Glyphipterix forsterella, 1829823
Glyphipterix fuscoviridella, 1829752
Glyphipterix haworthana, 1829799
Glyphipterix schoenicolella, 1829952
Glyphipterix simpliciella, 1829776
Glyphipterix thrasonella, 1829785
Glyptoteles leucacrinella, 1877038
Gnorimoschema herbichii, 1851718
Gnorimoschema streliciella, 1851698
Gracillaria syringella, 1749713
Grapholita compositella, 1736601
Grapholita discretana, 1736484
Grapholita funebrana, 1736528
Grapholita gemmiferana, 1736504
Grapholita janthinana, 1736565
Grapholita jungiella, 1736511
Grapholita lathyrana, 7990347
Grapholita lobarzewskii, 1736485
Grapholita lunulana, 1736530
Grapholita molesta, 1736574
Grapholita orobana, 1736560
Grapholita tenebrosana, 1736512
Gravitarmata margarotana, 1736727
Gymnancyla canella, 1878586
Gynnidomorpha alismana, 4530798
Gynnidomorpha minimana, 4530803
Gynnidomorpha permixtana, 4530795
Gynnidomorpha vectisana, 4530800
Gypsonoma aceriana, 1736906
Gypsonoma dealbana, 1736904
Gypsonoma minutana, 1736905
Gypsonoma nitidulana, 4530406
Gypsonoma oppressana, 1736945
Gypsonoma sociana, 1736898
Haplotinea ditella, 1856133
Haplotinea insectella, 1856130
Harpella forficella, 1835156
Hedya nubiferana, 1737526
Hedya ochroleucana, 1737552
Hedya pruniana, 1737524
Hedya salicella, 1737542
Heinemannia festivella, 5771027
Helcystogramma lutatella, 1850533
Helcystogramma rufescens, 1850538
Heliodines roesella, 1831736
Heliothela wulfeniana, 1886084
Heliozela hammoniella, 1861210
Heliozela resplendella, 1861213
Heliozela sericiella, 1861205
Hellinsia carphodactyla, 1859483
Hellinsia didactylites, 1859471
Hellinsia distinctus, 1859486
Hellinsia lienigianus, 1859487
Hellinsia tephradactyla, 1859488
Hellula undalis, 1879408
